# Outline of map
BStart
(7712.0,-1512.0)
(7420.0,-1277.0)
(7078.0,-1274.0)
(7078.0,-1527.0)
(6545.0,-1527.0)
(6545.0,-1281.0)
(6113.0,-1281.0)
(6115.0,-1034.0)
(6102.0,-1032.0)
(6101.0,-726.0)
(6136.0,-682.0)
(6161.0,-626.0)
(6169.0,-563.0)
(6366.0,-563.0)
(6367.0,-484.0)
(5972.0,-109.0)
(5769.0,-109.0)
(5768.0,-301.0)
(5716.0,-338.0)
(5671.0,-392.0)
(5662.0,-491.0)
(5152.0,-491.0)
(5153.0,-214.0)
(4637.0,294.0)
(3500.0,294.0)
(3148.0,-57.0)
(3148.0,-498.0)
(1589.0,-497.0)
(1589.0,-255.0)
(966.0,-255.0)
(748.0,-415.0)
(746.0,-568.0)
(1424.0,-568.0)
(1423.0,-823.0)
(951.0,-823.0)
(916.0,-912.0)
(745.0,-916.0)
(746.0,-1129.0)
(1079.0,-1129.0)
(1080.0,-1655.0)
(808.0,-1655.0)
(807.0,-1381.0)
(523.0,-1381.0)
(522.0,-1091.0)
(343.0,-1091.0)
(266.0,-1153.0)
(266.0,-1201.0)
(123.0,-1292.0)
(121.0,-1478.0)
(311.0,-1615.0)
(319.0,-1702.0)
(318.0,-1792.0)
(395.0,-1823.0)
(306.0,-1829.0)
(300.0,-1922.0)
(241.0,-1926.0)
(233.0,-1877.0)
(139.0,-1878.0)
(137.0,-2336.0)
(340.0,-2471.0)
(522.0,-2472.0)
(522.0,-2168.0)
(806.0,-2166.0)
(805.0,-1934.0)
(1081.0,-1934.0)
(1082.0,-2485.0)
(749.0,-2484.0)
(749.0,-2740.0)
(1429.0,-2740.0)
(1427.0,-3041.0)
(959.0,-3041.0)
(921.0,-3109.0)
(748.0,-3108.0)
(748.0,-3193.0)
(968.0,-3364.0)
(1589.0,-3362.0)
(1589.0,-3071.0)
(1947.0,-3071.0)
(1947.0,-3579.0)
(3347.0,-3581.0)
(3346.0,-3630.0)
(3717.0,-3999.0)
(4434.0,-4000.0)
(4434.0,-3168.0)
(5053.0,-3166.0)
(5052.0,-3360.0)
(5014.0,-3359.0)
(5014.0,-3420.0)
(4808.0,-3427.0)
(4808.0,-3403.0)
(4537.0,-3403.0)
(4537.0,-3815.0)
(4718.0,-3996.0)
(5259.0,-3996.0)
(5440.0,-3815.0)
(5440.0,-3364.0)
(5328.0,-3363.0)
(5328.0,-3166.0)
(5698.0,-3166.0)
(5738.0,-3240.0)
(5789.0,-3298.0)
(5854.0,-3331.0)
(5590.0,-3333.0)
(5591.0,-3498.0)
(5834.0,-3497.0)
(5833.0,-3533.0)
(5978.0,-3537.0)
(6104.0,-3409.0)
(6102.0,-3252.0)
(6157.0,-3173.0)
(6164.0,-3095.0)
(6169.0,-2948.0)
(6151.0,-2895.0)
(6102.0,-2867.0)
(6102.0,-2779.0)
(6367.0,-2780.0)
(6370.0,-2650.0)
(6116.0,-2649.0)
(6115.0,-2125.0)
(6547.0,-2125.0)
(6546.0,-1821.0)
(7079.0,-1818.0)
(7079.0,-2062.0)
(7423.0,-2062.0)
(7712.0,-1824.0)
(8488.0,-1824.0)
(7464.0,-2976.0)
(6816.0,-3848.0)
(5856.0,-4608.0)
(1520.0,-4664.0)
(-608.0,-3560.0)
(-656.0,-1008.0)
(344.0,-104.0)
(1424.0,640.0)
(5352.0,776.0)
(6904.0,-24.0)
(7896.0,-912.0)
(8486.0,-1513.0)
BEnd
BStart
(7713.0,-1500.0)
(8486.0,-1500.0)
(8488.0,-1842.0)
(7713.0,-1841.0)
BEnd
